epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,210931,1.01865,0.58774,0.97253,0.86089,0.86365,0.89773,0.63219,1.01396,0.6138,0.90677,0.00077975,0.00077975,0.00077975
40,216130,1.01481,0.59036,0.97269,0.90104,0.83928,0.89818,0.64592,1.00762,0.62021,0.90698,0.000767375,0.000767375,0.000767375
41,221272,1.0015,0.57753,0.96957,0.87819,0.83147,0.89457,0.62073,1.016,0.60612,0.90393,0.000755,0.000755,0.000755
42,226402,1.0014,0.57774,0.96664,0.8679,0.83987,0.89735,0.62219,1.01466,0.60526,0.90112,0.000742625,0.000742625,0.000742625
43,231473,1.0099,0.58089,0.96843,0.88769,0.83124,0.89612,0.63803,1.00967,0.61063,0.90524,0.00073025,0.00073025,0.00073025
44,236663,1.00068,0.57435,0.96783,0.87603,0.84292,0.89787,0.62616,0.99539,0.58587,0.89623,0.000717875,0.000717875,0.000717875
45,241818,0.98808,0.56688,0.96316,0.89139,0.83292,0.90212,0.56681,1.01097,0.6063,0.89879,0.0007055,0.0007055,0.0007055
46,247007,0.98102,0.56428,0.96122,0.84918,0.85481,0.90062,0.59821,1.01082,0.59412,0.90193,0.000693125,0.000693125,0.000693125
47,252214,0.9856,0.56749,0.96533,0.8713,0.84997,0.90218,0.63168,0.98781,0.58779,0.89564,0.00068075,0.00068075,0.00068075
48,257296,0.98559,0.55829,0.96113,0.84238,0.86506,0.90432,0.58903,1.01046,0.60243,0.90033,0.000668375,0.000668375,0.000668375
49,262484,0.9806,0.56024,0.96327,0.86594,0.84911,0.90188,0.63677,0.99069,0.60278,0.89356,0.000656,0.000656,0.000656
