epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5580.31,1.43208,1.77856,1.12719,0.60116,0.74887,0.69153,0.41728,1.42775,1.59713,1.03871,0.000415365,0.000415365,0.000415365
2,10900.1,1.38192,1.16687,1.09161,0.7962,0.70313,0.76821,0.48404,1.31511,1.18768,1.01002,0.000823794,0.000823794,0.000823794
3,16091.3,1.35116,1.04983,1.0869,0.77407,0.72209,0.75922,0.45465,1.33994,1.14737,1.01931,0.00122397,0.00122397,0.00122397
4,21606.4,1.31632,0.96254,1.07247,0.80957,0.76938,0.82246,0.55246,1.21596,0.98865,0.98593,0.00121287,0.00121287,0.00121287
5,27345.1,1.29766,0.90221,1.05692,0.87108,0.69611,0.81449,0.51104,1.2418,0.94894,1.00049,0.0012005,0.0012005,0.0012005
6,33135.7,1.24515,0.85627,1.05171,0.89607,0.73865,0.83537,0.5655,1.19763,0.90029,0.9798,0.00118812,0.00118812,0.00118812
7,38970.7,1.21868,0.82219,1.04006,0.91033,0.72625,0.84363,0.56631,1.14895,0.81361,0.95576,0.00117575,0.00117575,0.00117575
8,44645.3,1.19227,0.7802,1.0302,0.91376,0.7795,0.85228,0.54138,1.21683,0.7714,0.95751,0.00116337,0.00116337,0.00116337
9,49804.5,1.18356,0.76959,1.03164,0.95043,0.73527,0.86245,0.56257,1.16365,0.78837,0.95335,0.001151,0.001151,0.001151
10,54966.9,1.16138,0.74589,1.01828,0.92282,0.74172,0.85077,0.57828,1.13338,0.7383,0.95337,0.00113863,0.00113863,0.00113863
11,60150.6,1.18132,0.74434,1.01972,0.88299,0.79942,0.86818,0.58225,1.1454,0.71535,0.94468,0.00112625,0.00112625,0.00112625
12,65358.6,1.15728,0.72611,1.02044,0.86092,0.80609,0.85821,0.57607,1.14204,0.73084,0.94247,0.00111388,0.00111388,0.00111388
13,70535.3,1.1397,0.72352,1.01532,0.89701,0.77777,0.85921,0.58779,1.12643,0.7362,0.95247,0.0011015,0.0011015,0.0011015
14,75589.2,1.12264,0.708,1.01419,0.8717,0.80316,0.86473,0.60034,1.09181,0.71538,0.93331,0.00108913,0.00108913,0.00108913
15,80718.1,1.12152,0.69289,1.00526,0.87282,0.81203,0.86972,0.60899,1.10738,0.70308,0.9304,0.00107675,0.00107675,0.00107675
16,85912.3,1.11454,0.68661,1.00773,0.88105,0.79664,0.86483,0.60117,1.11023,0.72284,0.94123,0.00106437,0.00106437,0.00106437
17,91040.7,1.11508,0.68233,1.00835,0.92527,0.77911,0.87712,0.59643,1.13541,0.7175,0.94837,0.001052,0.001052,0.001052
18,96506.5,1.104,0.67487,1.00443,0.89324,0.77598,0.87106,0.60917,1.08296,0.66324,0.92128,0.00103962,0.00103962,0.00103962
19,102280,1.10256,0.67469,1.0008,0.86645,0.8223,0.87585,0.6077,1.061,0.7069,0.91533,0.00102725,0.00102725,0.00102725
20,108136,1.09647,0.67084,0.9961,0.90402,0.79339,0.88151,0.60635,1.04637,0.65285,0.92442,0.00101488,0.00101488,0.00101488
21,113937,1.0881,0.66137,0.99885,0.90706,0.78315,0.87865,0.6009,1.06186,0.6793,0.92376,0.0010025,0.0010025,0.0010025
22,119723,1.0797,0.65919,0.99412,0.91279,0.76997,0.86843,0.60449,1.05658,0.67909,0.92139,0.000990125,0.000990125,0.000990125
23,125508,1.07114,0.65443,0.99525,0.89592,0.79279,0.87427,0.61193,1.05437,0.66633,0.93299,0.00097775,0.00097775,0.00097775
24,131306,1.07964,0.64216,0.99113,0.92804,0.78346,0.88419,0.62463,1.04087,0.66926,0.91395,0.000965375,0.000965375,0.000965375
25,136511,1.0661,0.63659,0.98742,0.91597,0.79347,0.88549,0.60911,1.04408,0.65191,0.91738,0.000953,0.000953,0.000953
26,141751,1.04709,0.63059,0.98828,0.90451,0.77856,0.88138,0.57307,1.09896,0.68544,0.93905,0.000940625,0.000940625,0.000940625
27,146874,1.05056,0.63417,0.98482,0.91671,0.80023,0.88455,0.59587,1.04743,0.64544,0.91703,0.00092825,0.00092825,0.00092825
28,152018,1.05767,0.62799,0.98629,0.90194,0.79318,0.87629,0.60778,1.03884,0.64694,0.9108,0.000915875,0.000915875,0.000915875
29,157172,1.05281,0.62505,0.98497,0.95333,0.78056,0.8837,0.60125,1.02772,0.63853,0.91535,0.0009035,0.0009035,0.0009035
30,162346,1.04756,0.62041,0.98301,0.94497,0.76607,0.88932,0.59897,1.02835,0.63394,0.91172,0.000891125,0.000891125,0.000891125
31,167509,1.04079,0.61555,0.97926,0.86486,0.83392,0.89308,0.60987,1.05386,0.64313,0.91441,0.00087875,0.00087875,0.00087875
32,172649,1.03152,0.61432,0.97895,0.88141,0.84014,0.89227,0.61985,1.0673,0.64293,0.91782,0.000866375,0.000866375,0.000866375
33,177855,1.05211,0.60841,0.97717,0.91442,0.80209,0.89338,0.61712,1.04432,0.62743,0.92066,0.000854,0.000854,0.000854
34,182988,1.03654,0.61143,0.97769,0.87755,0.83612,0.89535,0.63464,1.004,0.63173,0.90107,0.000841625,0.000841625,0.000841625
35,188236,1.0289,0.60724,0.98099,0.88034,0.84165,0.89428,0.6327,1.02392,0.6323,0.90608,0.00082925,0.00082925,0.00082925
36,194013,1.01701,0.59697,0.97405,0.90011,0.81477,0.88961,0.62225,1.01361,0.6145,0.90515,0.000816875,0.000816875,0.000816875
37,199841,1.02442,0.59217,0.97236,0.90365,0.81575,0.89657,0.62231,1.02549,0.61043,0.90367,0.0008045,0.0008045,0.0008045
38,205635,1.00809,0.59235,0.97742,0.87783,0.84392,0.89593,0.61202,1.01603,0.60375,0.90044,0.000792125,0.000792125,0.000792125
